Weekday,PunchDate,Employee Total,Total for week acc to Employee
Saturday,8/1/2020,0,
Friday,7/31/2020,0,
Thursday,7/30/2020,9,
Wednesday,7/29/2020,7.62,
Tuesday,7/28/2020,8.1,
Monday,7/27/2020,8.02,32.74
Saturday,7/25/2020,0,
Friday,7/24/2020,8,
Thursday,7/23/2020,7.82,
Wednesday,7/22/2020,6.08,
Tuesday,7/21/2020,8.02,
Monday,7/20/2020,8.02,37.94
Saturday,7/18/2020,4.17,
Friday,7/17/2020,3,
Thursday,7/16/2020,9.27,
Wednesday,7/15/2020,8.38,
Tuesday,7/14/2020,7.93,
Monday,7/13/2020,7.95,40.7
Saturday,7/11/2020,0,
Friday,7/10/2020,7.98,
Thursday,7/9/2020,7.87,
Wednesday,7/8/2020,8,
Tuesday,7/7/2020,7.9,
Monday,7/6/2020,7.95,39.7
Saturday,7/4/2020,0,
Friday,7/3/2020,7.83,
Thursday,7/2/2020,7.88,
Wednesday,7/1/2020,8.45,
Tuesday,6/30/2020,7.97,
Monday,6/29/2020,8.47,40.6
Saturday,6/27/2020,4.08,
Friday,6/26/2020,7.95,
Thursday,6/25/2020,4.2,
Wednesday,6/24/2020,7.97,
Tuesday,6/23/2020,8.35,
Monday,6/22/2020,7.93,40.48
Saturday,6/20/2020,0,
Friday,6/19/2020,8.22,
Thursday,6/18/2020,8.43,
Wednesday,6/17/2020,7.9,
Tuesday,6/16/2020,8.08,
Monday,6/15/2020,7.8,40.43
Saturday,6/13/2020,3.72,
Friday,6/12/2020,8.03,
Thursday,6/11/2020,6.02,
Wednesday,6/10/2020,8.08,
Tuesday,6/9/2020,8.03,
Monday,6/8/2020,8.12,42
Saturday,6/6/2020,4,
Friday,6/5/2020,7,
Thursday,6/4/2020,7.07,
Wednesday,6/3/2020,7.05,
Tuesday,6/2/2020,7.08,
Monday,6/1/2020,6.97,39.17
Saturday,5/30/2020,4.03,
Friday,5/29/2020,7.05,
Thursday,5/28/2020,7.17,
Wednesday,5/27/2020,7.15,
Tuesday,5/26/2020,8,
Monday,5/25/2020,8,41.4
Saturday,5/23/2020,2.75,
Friday,5/22/2020,7.05,
Thursday,5/21/2020,8,
Wednesday,5/20/2020,7.07,
Tuesday,5/19/2020,8,
Monday,5/18/2020,7.07,39.94
Saturday,5/16/2020,2.25,
Friday,5/15/2020,7.12,
Thursday,5/14/2020,8,
Wednesday,5/13/2020,7.32,
Tuesday,5/12/2020,8,
Monday,5/11/2020,7.25,39.94
Saturday,5/9/2020,2,
Friday,5/8/2020,7.33,
Thursday,5/7/2020,8,
Wednesday,5/6/2020,7.33,
Tuesday,5/5/2020,8,
Monday,5/4/2020,7.33,39.989998
Saturday,5/2/2020,2.17,
Friday,5/1/2020,7.35,
Thursday,4/30/2020,8,
Wednesday,4/29/2020,7.17,
Tuesday,4/28/2020,8,
Monday,4/27/2020,7.32,40.01
Saturday,4/25/2020,0,
Friday,4/24/2020,8,
Thursday,4/23/2020,8,
Wednesday,4/22/2020,8,
Tuesday,4/21/2020,8,
Monday,4/20/2020,8,40
Saturday,4/18/2020,4.2,
Friday,4/17/2020,7.15,
Thursday,4/16/2020,7.23,
Wednesday,4/15/2020,7.2,
Tuesday,4/14/2020,7.2,
Monday,4/13/2020,7.08,40.06
Saturday,4/11/2020,0,
Friday,4/10/2020,8,
Thursday,4/9/2020,8,
Wednesday,4/8/2020,8,
Tuesday,4/7/2020,8,
Monday,4/6/2020,8,40
Saturday,4/4/2020,0,
Friday,4/3/2020,7.13,
Thursday,4/2/2020,8,
Wednesday,4/1/2020,7.27,
Tuesday,3/31/2020,8.25,
Monday,3/30/2020,7.23,37.88
Saturday,3/28/2020,3.78,
Friday,3/27/2020,8,
Thursday,3/26/2020,7.12,
Wednesday,3/25/2020,8,
Tuesday,3/24/2020,7.22,
Monday,3/23/2020,5.83,39.95
Saturday,3/21/2020,4.57,
Friday,3/20/2020,8,
Thursday,3/19/2020,8,
Wednesday,3/18/2020,0,
Tuesday,3/17/2020,7.85,
Monday,3/16/2020,8.03,36.45
Saturday,3/14/2020,4.48,
Friday,3/13/2020,8,
Thursday,3/12/2020,9.4,
Wednesday,3/11/2020,0,
Tuesday,3/10/2020,8.53,
Monday,3/9/2020,7.88,38.29
Saturday,3/7/2020,0,
Friday,3/6/2020,7.98,
Thursday,3/5/2020,9.33,
Wednesday,3/4/2020,8.57,
Tuesday,3/3/2020,7.83,
Monday,3/2/2020,6.67,40.38
